supplier_name,supplier_country,supplier_state,supplier_city,supplier_type,is_active,source_system,source_supplier_id
IDAHO ENVIRONMENTAL COALITION LLC,,,,Public Procurement Recipient,True,USAspending,SUP-29a41a2a6714
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,Public Procurement Recipient,True,USAspending,SUP-8f109b456523
"JEFFERSON SCIENCE ASSOCIATES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-da0a8309a33b
JT4 LLC,,,,Public Procurement Recipient,True,USAspending,SUP-e0ea4b186512
"KBR SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-27c51cffaffd
"KBR WYLE SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-7bfb076213fc
"KOKOSING ALBERICI TRAYLOR, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-12f213789cc8
"L3HARRIS TECHNOLOGIES, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-cb06d174848d
"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-26b622394002
LEIDOS BIOMEDICAL RESEARCH INC,,,,Public Procurement Recipient,True,USAspending,SUP-7aca329183b5
"LEIDOS, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-6837eaa64680
LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-6dcaaead0a49
LOCKHEED MARTIN CORP,,,,Public Procurement Recipient,True,USAspending,SUP-8d496a253cef
LOCKHEED MARTIN CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-349f3299ab87
"LOCKHEED MARTIN SERVICES, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-0466f4ed4f29
LOS ALAMOS NATIONAL SECURITY LLC,,,,Public Procurement Recipient,True,USAspending,SUP-deaa6152c34e
"M1 SUPPORT SERVICES, L.P.",,,,Public Procurement Recipient,True,USAspending,SUP-5d6dcf7c315d
"MAGELLAN FEDERAL, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-c0928d72fc9c
MARINETTE MARINE CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-09f0dc02abd9
MARTINS POINT HEALTH CARE INC,,,,Public Procurement Recipient,True,USAspending,SUP-e0f9bc453e63
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,Public Procurement Recipient,True,USAspending,SUP-77f97e36b1d9
"MAXIMUS FEDERAL SERVICES, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-e62f3ae58b13
MCKESSON CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-a1a6dfdeba70
MISCELLANEOUS FOREIGN AWARDEES,,,,Public Procurement Recipient,True,USAspending,SUP-896b5198604c
MISSION SUPPORT & TEST SERVICES LLC,,,,Public Procurement Recipient,True,USAspending,SUP-263fbc2441e7
"MISSION SUPPORT ALLIANCE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-964ad3bfd667
"MODERNATX, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-06468a81c574
"NATIONAL AEROSPACE SOLUTIONS, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-903aefe84571
NATIONAL STEEL AND SHIPBUILDING COMPANY,,,,Public Procurement Recipient,True,USAspending,SUP-942fb95b84d7
"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-e8a39278cb36
NORTHROP GRUMMAN SYSTEMS CORP,,,,Public Procurement Recipient,True,USAspending,SUP-edb0c41750f4
NORTHROP GRUMMAN SYSTEMS CORPORATION,,,,Public Procurement Recipient,True,USAspending,SUP-4774b5a1ce7a
NUCLEAR WASTE PARTNERSHIP LLC,,,,Public Procurement Recipient,True,USAspending,SUP-f3b115757f0c
"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",,,,Public Procurement Recipient,True,USAspending,SUP-356acae9fa9e
"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-f1d49c5287a6
"ORACLE HEALTH GOVERNMENT SERVICES, INC.",,,,Public Procurement Recipient,True,USAspending,SUP-89f8b9ad1295
OSHKOSH DEFENSE LLC,,,,Public Procurement Recipient,True,USAspending,SUP-114ec563ecc4
PACMED CLINICS,,,,Public Procurement Recipient,True,USAspending,SUP-9f144e09533a
"PANTEXAS DETERRENCE, LLC",,,,Public Procurement Recipient,True,USAspending,SUP-0db41b56236c
PARSONS GOVERNMENT SERVICES INC.,,,,Public Procurement Recipient,True,USAspending,SUP-f4ad7ddf985a
PERATON INC.,,,,Public Procurement Recipient,True,USAspending,SUP-8c40939f3f2d
